Open,High,Low,Close,Volume,Date
10.3,10.3,9.95,10.04,2592600,2012-09-14
10.06,10.08,9.86,9.97,2606100,2012-09-17
10,10.2,9.97,10.08,5999700,2012-09-18
10.1,10.1,9.98,10,9511200,2012-09-19
9.99,10,9.95,9.97,1106700,2012-09-20
10,10.06,9.95,10,22064500,2012-09-21
10,10.08,10,10.02,1235600,2012-09-24
10,10.58,10,10.48,25999400,2012-09-25
10.48,10.94,10.48,10.9,41212400,2012-09-26
10.96,11.74,10.96,11.16,50787000,2012-09-27
11.18,11.4,11,11.2,9692500,2012-09-28
11.2,11.8,11.12,11.14,9645900,2012-10-01
11.22,11.54,11.22,11.34,8348800,2012-10-02
11.34,11.74,11.32,11.72,11532100,2012-10-03
11.72,12.34,11.72,12.24,18062000,2012-10-04
12.38,12.72,12.32,12.58,13483900,2012-10-05
12.58,12.86,12.58,12.78,8604900,2012-10-08
12.78,12.88,12.02,12.02,8780100,2012-10-09
12.06,12.62,11.88,12.34,9660300,2012-10-10
12.4,12.94,12.36,12.68,8004900,2012-10-11
12.7,13.4,12.68,13.2,17595000,2012-10-12
13.24,14,13.24,13.8,16002800,2012-10-15
13.94,14.64,13.88,14.42,14617100,2012-10-16
14.58,14.58,13.12,13.38,26887000,2012-10-17
13.58,13.58,12.68,13.28,29094700,2012-10-18
13.46,13.66,13.2,13.2,10924000,2012-10-19
13.32,13.5,12.9,13.5,4301400,2012-10-22
13.5,13.7,13.36,13.36,4376800,2012-10-23
13.36,13.36,13.02,13.1,4245800,2012-10-24
13.1,13.36,13.08,13.22,6411900,2012-10-25
13.36,13.6,13.12,13.44,4406600,2012-10-29
13.5,13.94,13.3,13.72,7284600,2012-10-30
13.8,14.18,13.8,14.1,8731200,2012-10-31
14.2,15,14.2,14.78,21117400,2012-11-05
14.9,15.1,14.58,14.6,7053900,2012-11-06
14.7,14.8,14,14.36,10755700,2012-11-07
14.12,14.28,14.12,14.16,3086000,2012-11-08
14.16,14.58,14,14.1,9727800,2012-11-09
14.12,14.16,13.8,13.82,4612200,2012-11-12
13.84,13.9,13.8,13.8,1977500,2012-11-13
13.82,14.18,13.8,13.94,3734600,2012-11-14
13.94,13.94,13.74,13.78,5820300,2012-11-15
13.78,13.8,13.5,13.52,4856800,2012-11-16
13.52,13.8,13.36,13.36,5756100,2012-11-19
13.4,13.64,13.4,13.5,2861900,2012-11-20
13.52,14.44,13.52,14.14,17529300,2012-11-21
14.2,14.2,13.8,13.88,3312700,2012-11-22
13.9,14.1,13.88,13.96,2785800,2012-11-23
14,14.04,13.9,13.98,4131900,2012-11-26
14,14.26,13.96,13.96,3988400,2012-11-27
13.96,14.08,13.64,13.72,4237400,2012-11-28
13.8,13.86,13.4,13.46,7617000,2012-11-29
13.88,14.08,13.5,13.86,3716500,2012-12-03
13.88,14.32,13.88,14,20446400,2012-12-04
14.14,14.14,13.66,13.76,4347900,2012-12-05
13.78,13.96,13.72,13.8,3470300,2012-12-06
13.82,13.9,13.4,13.5,9299600,2012-12-07
13.52,13.6,13.34,13.38,3710800,2012-12-10
13.4,13.48,13.04,13.06,8040600,2012-12-11
13.06,13.32,13.06,13.2,6744100,2012-12-12
13.3,13.4,13.16,13.26,5920300,2012-12-13
13.28,13.28,13.06,13.1,3221300,2012-12-14
13.1,13.2,12.86,12.86,7076500,2012-12-17
12.8,12.94,12.58,12.62,11255700,2012-12-18
12.6,13.02,12.54,12.84,10913300,2012-12-19
13.06,13.14,12.9,13.06,3226900,2012-12-20
13.06,13.16,12.94,12.98,5800600,2012-12-21
13,13.42,13,13.34,4477400,2012-12-26
13.34,13.34,13,13.1,2341700,2012-12-27
13.26,13.32,13.16,13.2,5065200,2012-12-28
13.2,13.7,13.2,13.58,6610800,2013-01-02
13.7,13.94,13.58,13.68,9113400,2013-01-03
13.74,13.76,13.66,13.7,3139200,2013-01-04
13.8,13.9,13.68,13.7,6792900,2013-01-07
13.82,13.82,13.5,13.5,11173600,2013-01-08
13.5,13.5,13.26,13.4,10098600,2013-01-09
13.4,13.4,12.84,12.92,19950400,2013-01-10
12.92,13.04,12.88,12.96,11866600,2013-01-11
13,13.4,13,13.16,129529900,2013-01-14
13.2,13.24,12.98,12.98,8162900,2013-01-15
12.98,13.16,12.96,12.98,3699300,2013-01-16
13.06,13.2,12.96,13.1,3243300,2013-01-17
13.04,13.2,13.04,13.12,5440300,2013-01-18
13.12,13.36,13.12,13.28,8306300,2013-01-21
13.3,13.34,12.96,13.06,7315800,2013-01-22
13.06,13.18,12.92,12.96,6158800,2013-01-23
